GENE_ENTREZ_ID,GENE_SYMBOL,DISEASE_IDS
100,ADA,"OMIM:102700,ORPHA:39041,ORPHA:277"
51816,ADA2,"OMIM:182410,OMIM:615688,ORPHA:820,ORPHA:124"
207,AKT1,"OMIM:114480,ORPHA:744,OMIM:615109,OMIM:167000,ORPHA:2495,ORPHA:201,OMIM:176920,OMIM:114500"
716,C1S,"OMIM:613783,ORPHA:75392,OMIM:617174"
843,CASP10,"ORPHA:3261,OMIM:605027,OMIM:603909,OMIM:613659"
1027,CDKN1B,"ORPHA:276152,ORPHA:652,OMIM:610755"
55636,CHD7,"ORPHA:478,ORPHA:432,OMIM:612370,ORPHA:39041,OMIM:214800,ORPHA:138"
1188,CLCNKB,"ORPHA:358,OMIM:613090,OMIM:607364,ORPHA:89938"
1493,CTLA4,"OMIM:140300,ORPHA:3162,OMIM:152700,ORPHA:2584,OMIM:616100,ORPHA:900"
64421,DCLRE1C,"OMIM:603554,ORPHA:275,OMIM:602450,ORPHA:39041"
355,FAS,"ORPHA:3437,ORPHA:3261,OMIM:601859,ORPHA:117"
356,FASLG,"OMIM:211980,ORPHA:3261,OMIM:601859"
27022,FOXD3,OMIM:607836
50943,FOXP3,"ORPHA:37042,OMIM:304790"
2859,GPR35,ORPHA:171
3117,HLA-DQA1,"OMIM:212750,ORPHA:930"
3119,HLA-DQB1,"ORPHA:83465,ORPHA:703,ORPHA:2073,OMIM:123400,OMIM:212750,ORPHA:930,OMIM:126200"
10068,IL18BP,OMIM:618549
3559,IL2RA,"OMIM:606367,ORPHA:85408,OMIM:601942,ORPHA:85410"
3561,IL2RG,"OMIM:312863,ORPHA:276,ORPHA:39041,OMIM:300400"
3575,IL7R,"OMIM:608971,ORPHA:169154,ORPHA:39041"
83737,ITCH,"ORPHA:228426,OMIM:613385"
3981,LIG4,"ORPHA:235,OMIM:254500,ORPHA:39041,OMIM:606593,ORPHA:99812"
987,LRBA,OMIM:614700
4485,MST1,ORPHA:171
4791,NFKB2,"ORPHA:1572,OMIM:615577,ORPHA:293978"
22861,NLRP1,"OMIM:618803,OMIM:615225,OMIM:606579,OMIM:617388"
5297,PI4KA,"ORPHA:98889,OMIM:616531,ORPHA:436252,OMIM:619708,OMIM:619621"
5290,PIK3CA,"OMIM:615108,OMIM:619538,OMIM:167000,OMIM:114550,ORPHA:201,OMIM:613659,OMIM:155500,OMIM:114480,OMIM:211980,OMIM:182000,OMIM:602501,OMIM:612918,ORPHA:2495,OMIM:162900,ORPHA:144,ORPHA:99802,OMIM:613089,ORPHA:276280,ORPHA:60040,OMIM:114500"
5336,PLCG2,"OMIM:614468,OMIM:614878"
5428,POLG,"ORPHA:298,ORPHA:94125,ORPHA:70595,OMIM:603041,OMIM:613662,OMIM:607459,OMIM:203700,ORPHA:726,ORPHA:254892,OMIM:157640,ORPHA:254886,OMIM:258450"
5580,PRKCD,"ORPHA:1572,ORPHA:3261,OMIM:615559"
5728,PTEN,"ORPHA:744,OMIM:605309,ORPHA:145,ORPHA:65285,OMIM:607174,ORPHA:201,ORPHA:79076,ORPHA:137608,ORPHA:109,ORPHA:101070,OMIM:158350,ORPHA:2969,OMIM:176807"
5896,RAG1,"OMIM:601457,OMIM:603554,OMIM:233650,ORPHA:331206,ORPHA:39041,ORPHA:231154"
5897,RAG2,"OMIM:601457,OMIM:603554,OMIM:233650,ORPHA:331206,ORPHA:39041"
10125,RASGRP1,"ORPHA:3261,OMIM:618534"
6023,RMRP,"OMIM:250250,ORPHA:175,ORPHA:39041,OMIM:250460,OMIM:607095"
10483,SEC23B,"OMIM:616858,ORPHA:201,OMIM:224100"
10507,SEMA4D,ORPHA:171
6559,SLC12A3,"ORPHA:358,OMIM:263800"
2542,SLC37A4,"OMIM:232240,ORPHA:79259,OMIM:232220,OMIM:619525"
8651,SOCS1,OMIM:619375
6772,STAT1,"OMIM:614892,OMIM:614162,OMIM:613796,ORPHA:391487"
6777,STAT5B,"OMIM:618985,OMIM:245590,ORPHA:520"
6909,TBX2,OMIM:618223
6925,TCF4,"ORPHA:178469,OMIM:610954,ORPHA:171,OMIM:613267,ORPHA:98974,ORPHA:2896"
7038,TG,"OMIM:608175,OMIM:274700,ORPHA:95716"
10043,TOM1,"OMIM:619510,ORPHA:391487"
57217,TTC7A,"ORPHA:436252,ORPHA:2300,OMIM:243150"
57623,ZFAT,OMIM:608175
