#rank	DIAMOnD_node	p_hyper
1	ENSP00000254624	2.88479862084062e-06
2	ENSP00000384081	6.48642146319061e-06
3	ENSP00000360777	1.00651874102013e-05
4	ENSP00000373399	1.5825121510628992e-07
5	ENSP00000365757	2.6974453203797035e-09
6	ENSP00000362115	4.665889830780871e-11
7	ENSP00000265382	1.3580393333401854e-12
8	ENSP00000347792	2.542561707013049e-14
9	ENSP00000357883	2.438013321791238e-16
10	ENSP00000388631	1.679502676007709e-18
11	ENSP00000479636	3.161313513838768e-20
12	ENSP00000482548	2.1065014711703038e-22
13	ENSP00000466363	2.231825661144593e-24
14	ENSP00000347032	2.149599100612263e-25
15	ENSP00000360154	2.7525876662718272e-27
16	ENSP00000266505	2.1796000664025472e-29
17	ENSP00000409667	3.1257828544819852e-30
18	ENSP00000430344	2.3104512340797474e-32
19	ENSP00000345988	3.5624994002847174e-31
20	ENSP00000367747	2.1343286256118644e-30
21	ENSP00000357869	5.362149677428828e-30
22	ENSP00000360431	1.194858558170142e-30
23	ENSP00000338185	4.354152385765227e-31
24	ENSP00000363046	2.0024729645849618e-30
25	ENSP00000244007	1.4534895976357717e-29
26	ENSP00000367762	4.689574346831172e-30
27	ENSP00000443631	2.594063094352757e-29
28	ENSP00000264864	1.2556993748907447e-31
29	ENSP00000260386	1.4334972006802074e-29
30	ENSP00000260402	1.0209780327060097e-29
31	ENSP00000265970	2.2281577246974833e-31
32	ENSP00000411152	5.636663594962613e-31
33	ENSP00000263370	1.2909310541214343e-31
34	ENSP00000357583	7.425925235705748e-34
35	ENSP00000359665	1.7293169526096828e-30
36	ENSP00000264380	1.0407353230254823e-30
37	ENSP00000354519	2.991838209087704e-32
38	ENSP00000356155	4.889805637465908e-33
39	ENSP00000373713	6.999486338015008e-35
40	ENSP00000445381	7.665330007446162e-36
41	ENSP00000384651	5.343015076618206e-31
42	ENSP00000262741	4.1330591626047976e-30
43	ENSP00000074304	2.1462975182800136e-29
44	ENSP00000425487	5.373792892615923e-31
45	ENSP00000345752	2.0711017439556307e-29
46	ENSP00000219789	4.8771822195140897e-29
47	ENSP00000371221	8.65701948340877e-31
48	ENSP00000222254	7.466014690893885e-30
49	ENSP00000428056	1.6697613879453437e-30
50	ENSP00000262039	1.1033498733526339e-29
51	ENSP00000352121	3.8265362979080704e-30
52	ENSP00000359423	6.894351890719114e-29
53	ENSP00000285419	2.8378386603140587e-31
54	ENSP00000381102	1.4976650568964703e-33
55	ENSP00000296003	3.5701815640774543e-28
56	ENSP00000359417	4.355623962639282e-28
57	ENSP00000392812	1.1369761116729896e-27
58	ENSP00000289153	1.332741679801278e-28
59	ENSP00000480157	7.170901153399456e-30
60	ENSP00000363985	2.6402373473104463e-27
61	ENSP00000263967	8.934010844431247e-26
62	ENSP00000366563	2.6810893665092495e-27
63	ENSP00000298229	8.110949023668632e-28
64	ENSP00000349205	4.534740897251966e-25
65	ENSP00000405338	7.463341492013186e-25
66	ENSP00000267615	2.7327080814161655e-27
67	ENSP00000383089	8.23645964112218e-27
68	ENSP00000333262	2.523930412467666e-28
69	ENSP00000413937	6.9494637059207e-30
70	ENSP00000376142	1.4853465420937477e-27
71	ENSP00000361064	1.2630837411871222e-24
72	ENSP00000325285	5.665606574839784e-23
73	ENSP00000180173	1.0044257645709919e-25
74	ENSP00000230124	1.312919032937069e-24
75	ENSP00000288490	1.471841099070616e-19
76	ENSP00000412178	2.264679358194736e-18
77	ENSP00000273814	1.4098622766354452e-17
78	ENSP00000265022	3.351829856708725e-17
79	ENSP00000398655	7.167816973914432e-16
80	ENSP00000284061	2.0549233466831334e-15
81	ENSP00000289902	2.462175876453872e-15
82	ENSP00000370744	2.799798486934725e-15
83	ENSP00000328405	2.5180549531402563e-14
84	ENSP00000246551	4.054019316759502e-14
85	ENSP00000363435	8.911066804128864e-14
86	ENSP00000306253	1.436360013993847e-14
87	ENSP00000364907	9.701300047069945e-15
88	ENSP00000483570	8.902593065592206e-16
89	ENSP00000472929	6.651889223675099e-17
90	ENSP00000308782	5.312736300410312e-16
91	ENSP00000428924	1.0561252821775957e-16
92	ENSP00000264972	2.923882436180262e-17
93	ENSP00000224337	1.049156382404526e-18
94	ENSP00000444986	1.3189397361622163e-19
95	ENSP00000046794	3.3333425866487786e-20
96	ENSP00000376345	1.6247281451053464e-20
97	ENSP00000378845	4.469189725784014e-20
98	ENSP00000339186	1.8832339032871857e-21
99	ENSP00000264033	3.6976973614244428e-22
100	ENSP00000346671	3.8446830223499737e-23
101	ENSP00000387784	1.8034440423208554e-23
102	ENSP00000278888	1.0740224424134854e-24
103	ENSP00000357097	7.998676340799897e-26
104	ENSP00000264122	9.134160678758901e-27
105	ENSP00000360916	9.150161968032726e-24
106	ENSP00000401303	1.58508043422159e-24
107	ENSP00000363117	1.1791126166625766e-25
108	ENSP00000359073	1.942750993243955e-25
109	ENSP00000376544	2.2646782209399317e-25
