#rank	DIAMOnD_node	p_hyper
1	ENSP00000011653	7.851577576117728e-14
2	ENSP00000226730	4.54908783879601e-15
3	ENSP00000341208	1.959981485319631e-15
4	ENSP00000264497	8.234663399108024e-17
5	ENSP00000216223	1.9082620838348657e-16
6	ENSP00000229135	6.380414837234726e-18
7	ENSP00000231454	6.607527081055116e-19
8	ENSP00000231449	3.7440859966199977e-20
9	ENSP00000274520	1.3617663228793353e-21
10	ENSP00000338010	3.9369765456766977e-22
11	ENSP00000264657	2.6401402598761557e-22
12	ENSP00000379111	9.008566721750806e-24
13	ENSP00000296545	7.71347310719039e-25
14	ENSP00000391676	2.8275046383308276e-26
15	ENSP00000263851	1.1730007139970178e-27
16	ENSP00000296871	5.137733271515874e-29
17	ENSP00000343204	1.9008886555743948e-30
18	ENSP00000304915	1.2590906595352438e-30
19	ENSP00000470788	1.3354905469651916e-31
20	ENSP00000385675	2.018354358941103e-32
21	ENSP00000296870	1.617834112292709e-33
22	ENSP00000371067	2.053971192722628e-33
23	ENSP00000227752	1.2591928034128077e-35
24	ENSP00000412237	1.0534041350676684e-34
25	ENSP00000383641	2.394552023689287e-37
26	ENSP00000360730	6.95371677638794e-35
27	ENSP00000300134	7.146346373941262e-35
28	ENSP00000262345	1.9718347527549466e-36
29	ENSP00000431885	5.442542721319049e-37
30	ENSP00000290200	1.3302357375167266e-36
31	ENSP00000442424	1.0840392796612041e-38
32	ENSP00000321345	5.819586642494856e-37
33	ENSP00000344192	2.4192378634185252e-36
34	ENSP00000276927	1.5585174194709535e-36
35	ENSP00000357470	4.733415465139659e-37
36	ENSP00000263379	2.490975820822098e-38
37	ENSP00000225474	1.4166467775099037e-37
38	ENSP00000263341	3.817432053081093e-37
39	ENSP00000339804	7.796364938165553e-34
40	ENSP00000270800	6.041353477452167e-34
41	ENSP00000327890	8.436458617281544e-34
42	ENSP00000369581	2.3113956806668912e-35
43	ENSP00000330341	3.7613744023794657e-34
44	ENSP00000231228	4.301632957525604e-33
45	ENSP00000356713	5.896802570234254e-35
46	ENSP00000303231	8.888193877247328e-35
47	ENSP00000280357	5.110104575077133e-35
48	ENSP00000376134	1.749355423563581e-36
49	ENSP00000270139	6.432002781614641e-34
50	ENSP00000398698	1.0836957027593854e-33
51	ENSP00000386559	8.910551356799158e-34
52	ENSP00000474412	1.9596122187113229e-35
53	ENSP00000477908	5.2100899987162913e-36
54	ENSP00000305651	9.782644197903292e-35
55	ENSP00000225831	3.91333007864231e-33
56	ENSP00000482259	9.897882449789426e-34
57	ENSP00000263339	4.4748307918573216e-35
58	ENSP00000306512	3.326548335777395e-36
59	ENSP00000403495	4.1679876173593606e-38
60	ENSP00000483609	6.23929504031295e-39
61	ENSP00000379110	3.395687379819649e-38
62	ENSP00000249075	6.785192825555954e-38
63	ENSP00000354901	5.937224751499985e-34
64	ENSP00000351671	9.67443304061209e-35
65	ENSP00000219235	9.101702022231604e-37
66	ENSP00000480558	1.5360402822324953e-36
67	ENSP00000308815	3.109049349359564e-38
68	ENSP00000427279	7.113259197063032e-39
69	ENSP00000362795	3.1779074646812055e-38
70	ENSP00000302234	1.0577846527435323e-36
71	ENSP00000246657	2.9880334589119626e-38
72	ENSP00000292301	6.019355057643925e-36
73	ENSP00000292303	7.449801579874873e-36
74	ENSP00000177694	7.257731468724999e-37
75	ENSP00000411355	1.8682924638597522e-37
76	ENSP00000379140	4.472796670864081e-37
77	ENSP00000441691	8.946421801552896e-37
78	ENSP00000386884	3.11502458092696e-37
79	ENSP00000363089	6.898685941685319e-37
80	ENSP00000332049	6.941329194952632e-38
81	ENSP00000264832	4.613820184900867e-39
82	ENSP00000361359	6.902510822606801e-38
83	ENSP00000228434	3.142388070444502e-37
84	ENSP00000359663	1.4169447257760372e-37
85	ENSP00000324890	4.585337071089819e-38
86	ENSP00000454623	2.4899824543085446e-39
87	ENSP00000264246	9.437506032320411e-40
88	ENSP00000260010	2.4032411671139247e-39
89	ENSP00000428056	2.290403050636666e-39
90	ENSP00000437940	9.21983938120499e-39
91	ENSP00000236147	3.9305964608963065e-40
92	ENSP00000292174	2.334757738182599e-39
93	ENSP00000343952	6.587210485272297e-37
94	ENSP00000367832	2.0115074706253526e-36
95	ENSP00000296027	1.516724887708388e-35
96	ENSP00000296026	2.7519331213064043e-36
97	ENSP00000296140	6.69219943537358e-37
98	ENSP00000219244	7.221982935891463e-37
99	ENSP00000351059	1.6052488589820967e-38
100	ENSP00000306884	1.1246700239520694e-38
101	ENSP00000006053	7.519199960611045e-37
102	ENSP00000395704	4.1682189520064895e-38
103	ENSP00000441600	6.3183522639494e-38
104	ENSP00000326432	4.7362975134388365e-35
105	ENSP00000286758	1.0738585886016709e-35
106	ENSP00000259607	1.0376513839827097e-36
107	ENSP00000310405	2.9579321244709037e-36
108	ENSP00000350256	8.109009195298207e-36
109	ENSP00000378118	3.707529096078852e-37
110	ENSP00000356792	4.1012264585800594e-35
111	ENSP00000332504	3.1696633381223057e-37
112	ENSP00000295683	8.784204296447581e-37
113	ENSP00000375086	6.580360007174063e-39
114	ENSP00000319635	3.4912880299912e-39
115	ENSP00000400533	1.8807773212696785e-39
116	ENSP00000225842	4.1734084131913925e-39
117	ENSP00000225844	4.768401714720243e-38
118	ENSP00000226317	3.0809114586469323e-37
119	ENSP00000479955	2.6228505121536935e-35
120	ENSP00000433642	3.199868386170727e-35
121	ENSP00000337065	4.783274828264379e-35
122	ENSP00000266557	8.120376331509778e-35
123	ENSP00000356946	3.6322727168659126e-35
124	ENSP00000216341	3.937038911273507e-35
125	ENSP00000398568	2.2984477132965983e-34
126	ENSP00000370989	2.344575851130295e-32
127	ENSP00000337825	3.4707976808428646e-32
128	ENSP00000398632	3.4016124664700376e-33
129	ENSP00000340944	6.330977211076478e-33
130	ENSP00000370698	4.0702308401506043e-32
131	ENSP00000259631	1.4790759227245195e-31
132	ENSP00000293778	2.5406595154427324e-31
133	ENSP00000228534	6.326479741471665e-31
134	ENSP00000391592	1.2822038191199408e-30
135	ENSP00000290219	2.0192129788333847e-32
136	ENSP00000343957	4.7239159722243085e-33
137	ENSP00000327513	7.83171096781786e-30
138	ENSP00000455897	1.5206780529113366e-29
139	ENSP00000296028	2.6846191043790424e-29
140	ENSP00000412209	3.040318656390255e-29
141	ENSP00000384053	4.351446626302154e-31
142	ENSP00000354952	8.930903967724611e-30
143	ENSP00000428924	1.6572148605302445e-30
144	ENSP00000376345	1.195924856280193e-30
145	ENSP00000215781	3.218625052758912e-29
146	ENSP00000478570	6.669683232235916e-30
147	ENSP00000275493	1.4602371072266929e-30
148	ENSP00000288135	2.4771625881773145e-30
149	ENSP00000222139	1.882080555143607e-31
150	ENSP00000472929	1.5190094187502848e-32
151	ENSP00000401303	1.1582284789891271e-31
152	ENSP00000364907	2.329323865239622e-30
153	ENSP00000354566	1.8093364483756948e-31
154	ENSP00000264033	4.514422159037456e-31
155	ENSP00000354782	1.2812998902315233e-30
156	ENSP00000335062	2.175806534754673e-30
157	ENSP00000431445	6.627985473125132e-30
158	ENSP00000358490	1.547443954700854e-31
159	ENSP00000346671	1.0658629477991285e-31
160	ENSP00000300692	8.578246851160468e-32
161	ENSP00000264972	5.550536516742717e-33
162	ENSP00000331172	2.079948628477077e-34
163	ENSP00000398655	6.280983050100678e-34
164	ENSP00000339186	3.151712370276921e-35
165	ENSP00000444986	2.9937148258467647e-33
166	ENSP00000387784	5.6561424796707046e-33
167	ENSP00000244007	4.497374595310444e-34
168	ENSP00000046794	3.685412188702541e-34
169	ENSP00000289153	1.1132443734184067e-33
170	ENSP00000261799	4.5478667373380796e-35
171	ENSP00000346300	1.0180554922856578e-33
172	ENSP00000222254	2.0725442170291247e-34
173	ENSP00000483570	2.249398278809681e-33
174	ENSP00000362680	3.949253357665229e-34
175	ENSP00000407586	2.5631487473530232e-34
176	ENSP00000378845	3.0607948481995513e-35
177	ENSP00000366563	9.197715397622026e-35
178	ENSP00000257290	5.044805432886325e-36
179	ENSP00000228280	1.9634313183447898e-35
180	ENSP00000241453	2.565381317397097e-36
181	ENSP00000252723	1.4281938195848222e-35
182	ENSP00000358548	2.0320286414624035e-35
183	ENSP00000256078	4.250313990753786e-36
184	ENSP00000365016	1.0846959721955393e-37
185	ENSP00000262741	1.1491134175913755e-38
186	ENSP00000462468	7.579893000813033e-37
187	ENSP00000360916	4.0924904560497704e-36
188	ENSP00000363117	1.9490662457458186e-37
189	ENSP00000224337	3.5715127411527834e-37
190	ENSP00000271450	2.3268046457357654e-36
191	ENSP00000352121	3.7557428384949596e-36
192	ENSP00000289902	3.382841586862893e-37
193	ENSP00000405338	7.512950167263619e-37
194	ENSP00000262995	3.764126980475773e-38
195	ENSP00000304895	1.2406341575580802e-37
196	ENSP00000269571	1.4454601438294514e-37
197	ENSP00000330382	4.782022961589349e-39
198	ENSP00000265171	3.4323685742249666e-39
199	ENSP00000480157	3.2462623972470436e-37
200	ENSP00000222390	2.992384972243892e-36
